id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel
362,N1=C2=C(=C=C=1-C(-C)-C)=C(-C(=C=C)=C)=C=C=N=2,16,17,112,10.303588,3,1.2345679
363,N1=C2=C(=C=C=1-C(-C)-C)=C(-C(=C)=C=C)=C=C=N=2,16,17,112,10.303588,3,1.2345679
364,N1=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C(-C)=C=1-C(-C-C)=C-C,21,23,162,14.903404,4,1.6460905
365,N1=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C(-C)=C=1-C(-C-C)=C-C,20,21,166,15.271389,4,1.6460905
366,N1=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C(-C)=C=1-C(-C)=C-C,20,22,171,15.731371,4,1.6460905
367,N1=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C(-C)=C=1-C(-C)=C-C,19,20,175,16.099356,4,1.6460905
368,N1=C(-C(-C-C)=C-C)=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=1=2,20,22,236,21.711132,4,1.6460905
369,N1=C(-C(-C-C)=C-C)=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=1=2,19,20,240,22.079117,4,1.6460905
370,N1=C(-C(-C-C)=C-C)=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=1=2,19,20,240,22.079117,4,1.6460905
371,N1=C2=C(=C=C=1-C(-C-C)=C-C)=C(-C=C=C=C=C)=C=C=N=2,19,20,242,22.26311,4,1.6460905
372,N1=C2=C(=C=C=1-C(-C-C)=C-C)=C(-C=C=C=C)=C=C=N=2,18,19,246,22.631094,4,1.6460905
373,N1=C(-C(-C)=C-C)=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=1=2,19,21,245,22.539099,4,1.6460905
374,N1=C(-C(-C)=C-C)=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=1=2,18,19,249,22.907084,4,1.6460905
375,N1=C(-C(-C)=C-C)=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=1=2,18,19,249,22.907084,4,1.6460905
376,N1=C2=C(=C=C=1-C(-C)=C-C)=C(-C=C=C=C=C)=C=C=N=2,18,19,251,23.091076,4,1.6460905
377,N1=C2=C(=C=C=1-C(-C)=C-C)=C(-C=C=C=C)=C=C=N=2,17,18,255,23.459063,4,1.6460905
378,N1=C2=C(=C=C=1-C-C-C-C)=C(-C1=C=C=C=C=C=1)=C=C=N=2,19,21,111,10.211592,2,0.82304525
379,N1=C2=C(=C=C=1-C-C-C-C)=C(-C(=C=C)=C=C)=C=C=N=2,18,19,114,10.48758,2,0.82304525
380,N(=C)=C(=C(=C=C-C=C-C)=C(-C=C=C)=C)=N,15,14,256,23.551058,4,1.6460905
381,C(-C=C(-C)=C=C=C=C)(-C)=C,10,9,176,16.191353,4,1.6460905
382,C(-C)-C=C-C-C,6,5,113,10.395584,2,0.82304525
383,C(-C=C-C=C=C=C(-C)=C=C)-C,11,10,110,10.119596,1,0.41152263
384,C(-C=C-C=C=C=C(-C)=C)-C,10,9,111,10.211592,1,0.41152263
