id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel,is_valid
275,N(-C=N=C(-C=C(=C=C)=C=N)=C)-C-C,13,12,145,13.339466,4,1.6460905,False
276,N(-C=N=C(-C=C=C=N=C=C=C)=C)-C-C,14,13,140,12.879485,4,1.6460905,False
277,N(-C=N=C(-C=C=C=C)=C)-C-C,11,10,147,13.523459,4,1.6460905,False
278,N(-C=N=C(-C)=C=C)-C-C,9,8,114,10.48758,3,1.2345679,False
279,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C-C-N)=C-C,23,26,121,11.131555,4,1.6460905,False
280,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C-C)=C-C,22,25,146,13.431462,4,1.6460905,False
281,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C-C-N-C)=C,23,26,121,11.131555,4,1.6460905,False
282,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C)=C-C,21,24,155,14.25943,4,1.6460905,False
283,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C-C-N)=C-C)=C=2)=C=C=C=C=1,23,24,125,11.49954,4,1.6460905,False
284,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C-C)=C-C)=C=2)=C=C=C=C=1,22,23,150,13.799448,4,1.6460905,False
285,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C-C-N-C)=C)=C=2)=C=C=C=C=1,23,24,125,11.49954,4,1.6460905,False
286,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C)=C-C)=C=2)=C=C=C=C=1,21,22,159,14.627415,4,1.6460905,False
287,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C-C-N)=C-C,22,24,125,11.49954,4,1.6460905,False
288,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C-C)=C-C,21,23,150,13.799448,4,1.6460905,False
289,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C-C-N-C)=C,22,24,125,11.49954,4,1.6460905,False
290,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C)=C-C,20,22,159,14.627415,4,1.6460905,False
291,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C-N)=C-C)=C=1)=C=C=C,22,22,129,11.867525,4,1.6460905,False
292,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C)=C-C)=C=1)=C=C=C,21,21,154,14.167434,4,1.6460905,False
293,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C-N-C)=C)=C=1)=C=C=C,22,22,129,11.867525,4,1.6460905,False
294,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C)=C-C)=C=1)=C=C=C,20,20,163,14.9954,4,1.6460905,False
297,N(-C)-C-C-C(-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)=C-C,22,24,140,12.879485,4,1.6460905,False
298,N(-C)-C-C-C(-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)=C-C,21,22,142,13.0634775,4,1.6460905,False
299,N(-C)-C-C-C(-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)=C-C,21,22,142,13.0634775,4,1.6460905,False
300,N(-C)-C-C-C(-C1=C=C2=C(-C=C)=C=C=N=C=2=N=1)=C-C,18,19,148,13.615456,4,1.6460905,False
301,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N-C)=C=2=C=1-C)=C)-C,24,26,124,11.407544,4,1.6460905,False
302,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N)=C=2=C=1-C)=C)-C,23,25,125,11.49954,4,1.6460905,False
303,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N-C)=C=2=C=1-C)=C)-C,23,24,128,11.775529,4,1.6460905,False
304,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N)=C=2=C=1-C)=C)-C,22,23,129,11.867525,4,1.6460905,False
305,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C=1-C)=C)-C,22,24,137,12.603496,4,1.6460905,False
306,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C=1-C)=C)-C,21,22,141,12.971481,4,1.6460905,False
307,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N-C)=C=2=C=1)=C)-C,23,25,125,11.49954,4,1.6460905,False
308,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N-C)=C=2=C=1)=C)-C,22,23,129,11.867525,4,1.6460905,False
309,N(-C)-C-C-C(-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)=C,21,23,188,17.29531,4,1.6460905,False
310,N(-C)-C-C-C(-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)=C,20,21,192,17.663294,4,1.6460905,False
311,N(-C)-C-C-C(-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)=C,20,21,192,17.663294,4,1.6460905,False
312,N(-C)-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C=C)=C=C=N=2)=C,20,21,194,17.847286,4,1.6460905,False
313,N(-C)-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C)=C=C=N=2)=C,19,20,198,18.215271,4,1.6460905,False
314,N(-C)-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C)=C=C=N=2)=C,17,18,208,19.135235,4,1.6460905,False
315,N(-C-C-C-C1=N=C2=C(=C=1)=C(-C(=C)=N=C(-N)=C)=C=C=N=2)-C,20,21,110,10.119596,3,1.2345679,False
316,N(-C-C=C(-C-C)-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)-C,22,24,136,12.511499,4,1.6460905,False
